rainfall,temperature,humidity,river_level,elevation,soil_moisture,previous_flood,risk
120.81,19.11,58.88,2.09,209.57,76.99,1,52.51
238.29,27.27,87.6,4.03,454.43,14.58,0,51.09
26.47,39.06,37.54,0.73,163.42,83.85,0,26.48
123.65,20.52,94.71,3.99,168.62,42.46,0,54.57
49.3,24.84,71.46,7.47,353.96,89.91,1,63.78
181.6,19.67,78.51,5.2,79.1,77.98,0,69.96
145.82,18.9,68.56,5.46,59.99,66.98,0,64.87
207.36,20.32,95.53,5.27,500.65,72.24,1,69.75
135.22,32.31,73.8,7.4,469.29,50.91,0,54.8
68.92,38.56,52.57,3.88,455.28,60.15,1,45.63
128.63,25.15,65.72,3.16,169.84,34.61,0,45.2
133.99,22.2,50.21,3.55,342.0,31.15,1,52.84
127.8,35.44,40.86,2.16,421.24,36.95,0,34.17
137.42,27.36,81.99,2.98,427.66,33.84,0,39.26
183.11,24.94,81.8,7.63,420.29,26.86,1,68.51
151.5,34.72,72.6,7.85,502.92,36.07,0,53.4
13.4,29.75,52.28,7.81,340.95,71.37,0,48.85
190.67,20.26,35.77,2.63,297.65,39.98,0,41.94
216.81,20.51,39.12,4.19,354.67,70.41,0,52.51
145.08,24.68,97.62,1.39,463.38,63.36,0,47.39
101.29,37.99,53.73,4.91,268.72,60.04,0,48.99
187.62,38.85,48.09,2.08,403.05,23.82,0,40.77
47.57,26.99,78.43,4.02,38.93,35.35,0,44.41
118.97,33.12,93.21,6.41,382.53,68.18,0,57.49
140.69,32.25,92.23,6.7,61.42,24.6,0,61.57
207.82,38.27,62.67,4.02,196.37,45.42,0,56.89
128.51,19.77,37.51,3.74,206.95,32.03,0,38.69
171.83,36.93,71.99,0.66,463.56,82.29,0,47.71
52.05,29.42,62.86,2.59,598.23,48.36,1,44.37
122.8,26.98,55.23,1.28,113.28,46.22,1,46.9
236.85,35.9,69.66,3.91,202.42,38.45,1,73.88
207.98,18.03,89.77,3.96,51.44,55.62,1,75.45
192.4,22.48,69.6,7.46,274.11,71.45,0,63.7
161.21,35.58,79.72,2.83,27.93,45.9,0,58.79
229.1,28.15,42.4,6.74,309.06,73.06,0,66.61
125.8,28.39,63.78,1.58,130.55,62.75,0,48.3
76.3,35.38,61.14,7.51,314.49,82.21,0,59.14
210.99,30.76,76.58,6.99,279.0,52.62,0,68.53
140.42,28.02,55.27,1.91,424.55,60.32,0,44.59
108.59,25.0,64.8,7.35,241.11,96.98,0,63.38
18.88,29.05,72.18,7.02,527.03,48.75,1,45.44
44.6,37.16,96.11,1.06,473.28,33.32,1,38.75
214.42,36.75,89.14,3.35,203.66,73.25,1,77.24
18.62,19.51,74.76,7.41,598.51,75.72,1,61.33
192.49,33.49,41.33,1.75,193.69,12.55,0,44.19
80.41,26.25,44.17,4.48,348.24,79.74,0,40.58
156.28,26.42,78.04,4.23,358.23,30.43,0,48.2
170.04,37.78,64.31,2.66,337.03,16.5,0,47.78
81.8,39.16,78.49,3.93,195.23,97.94,1,57.57
101.53,25.9,53.64,5.74,32.72,83.04,1,64.96
145.82,33.09,81.91,0.87,371.72,53.71,0,44.04
65.23,35.64,48.8,1.93,165.36,76.49,0,39.44
226.82,32.22,54.46,3.81,356.15,74.45,0,63.98
88.41,27.14,47.65,6.4,528.35,42.2,0,47.11
71.67,36.14,65.36,6.55,453.0,39.81,0,44.38
28.07,34.59,49.21,5.57,411.16,44.97,0,31.44
104.7,23.82,42.79,3.26,454.43,33.07,1,48.32
235.67,20.38,49.73,0.69,532.86,59.4,0,46.31
162.5,28.21,79.17,5.37,87.67,13.99,0,52.77
128.23,20.14,90.9,1.52,283.11,69.0,1,56.69
184.38,37.48,76.26,6.75,377.08,92.64,0,62.91
98.93,27.75,94.88,6.92,77.63,70.34,0,58.06
76.21,39.3,94.79,6.68,73.17,28.67,0,48.48
90.04,39.75,84.58,2.04,501.29,58.77,0,40.82
65.92,35.04,84.68,4.97,180.82,96.59,0,55.03
201.64,20.42,89.59,1.49,227.78,79.38,0,50.29
73.69,20.79,61.52,1.35,56.86,49.45,0,36.49
36.17,29.08,94.56,0.83,474.27,86.29,0,32.51
241.37,19.34,65.18,3.51,417.94,53.14,1,61.72
29.39,31.38,39.14,2.56,387.18,58.26,0,26.85
153.37,24.49,66.85,3.73,480.0,20.07,0,41.02
223.14,27.1,87.13,3.49,443.18,37.5,0,56.58
99.83,21.36,93.15,1.0,502.43,18.2,0,32.79
99.44,20.86,38.78,7.67,345.78,68.96,1,62.6
169.68,34.51,89.69,5.91,581.67,62.84,0,53.2
131.78,21.4,65.38,6.85,223.07,58.95,0,62.3
147.78,35.76,88.24,7.81,494.69,63.99,0,64.21
167.88,33.26,36.82,2.55,462.2,91.1,0,41.22
218.77,30.46,60.25,1.56,387.24,12.7,0,40.58
118.87,21.46,54.63,2.93,566.02,62.47,0,34.84
191.06,19.09,40.14,3.82,265.93,63.42,1,60.52
191.19,20.5,62.08,2.62,413.52,52.82,0,42.64
104.86,31.19,35.48,2.76,142.52,22.08,0,33.04
38.8,28.94,62.13,1.47,328.9,30.25,0,20.31
216.82,18.93,36.18,7.41,520.02,60.67,1,74.73
110.25,20.53,36.31,2.94,484.77,64.4,0,32.52
212.68,23.35,72.1,4.43,249.54,37.3,0,54.41
196.99,19.68,74.89,4.48,132.46,78.31,0,67.32
206.55,35.93,49.88,1.6,134.42,63.01,0,47.45
195.48,28.87,82.53,6.2,280.37,91.33,0,74.57
160.53,21.32,39.3,3.82,195.64,34.17,0,44.71
27.81,28.16,37.37,3.27,186.5,66.73,0,36.08
131.7,28.18,69.92,6.44,539.61,49.58,0,49.56
124.15,21.32,38.9,1.28,541.49,40.22,0,29.62
51.41,23.45,62.58,3.8,323.19,23.97,0,38.35
102.98,35.04,77.77,0.89,385.91,39.45,0,28.28
172.81,24.25,80.6,5.42,545.68,86.85,0,54.89
169.27,38.17,54.54,5.42,404.04,21.35,0,46.63
100.4,35.42,86.23,5.53,500.8,75.01,0,53.52
111.62,25.96,57.84,1.85,144.23,93.39,1,53.14
249.99,21.41,53.63,6.41,314.46,57.5,0,69.8
220.33,31.6,72.63,1.66,124.89,70.97,0,59.79
20.49,26.01,80.33,7.77,374.15,76.21,1,58.23
67.4,39.24,84.42,7.28,132.53,69.69,1,68.21
77.63,26.4,68.23,7.75,493.8,80.51,0,59.41
22.52,28.57,58.39,7.51,432.61,55.4,0,41.51
193.15,24.0,92.03,1.61,273.73,93.28,0,60.92
222.31,38.47,61.14,3.47,236.9,43.98,0,54.24
16.77,38.48,87.87,5.37,479.0,22.11,0,39.56
123.39,36.28,82.81,4.02,376.9,89.72,0,50.56
210.39,30.07,80.82,4.46,84.49,35.35,0,56.55
67.23,32.06,74.24,0.97,505.28,53.98,0,30.73
148.01,33.81,53.35,0.51,224.63,60.22,0,41.84
30.55,39.44,39.26,4.45,314.25,96.97,0,40.02
122.83,31.98,96.81,2.4,29.42,79.39,0,51.19
167.71,20.28,71.66,6.18,97.38,41.0,0,64.97
52.02,35.14,64.27,5.72,386.41,81.41,0,49.76
236.47,18.81,47.7,6.43,533.76,37.77,0,59.27
247.39,29.95,50.96,6.15,130.84,41.41,0,71.46
89.66,20.74,58.19,7.17,451.12,88.73,1,63.29
54.84,33.23,58.14,6.48,174.7,17.27,1,47.99
154.59,36.09,69.36,2.91,66.44,68.16,0,53.2
182.24,21.67,62.97,3.85,441.55,90.22,1,63.48
245.21,38.85,39.73,5.28,230.72,80.5,0,72.4
44.27,31.37,84.22,0.76,59.0,78.51,0,36.58
237.87,18.71,44.67,3.87,235.16,49.07,0,58.44
137.07,26.76,75.92,2.37,85.8,74.74,1,61.87
229.25,20.59,83.82,5.78,144.45,63.85,1,77.37
42.57,19.63,45.88,5.85,598.41,81.33,0,42.8
180.29,30.1,53.29,2.75,111.35,72.44,0,57.72
132.1,20.67,47.66,1.54,478.42,12.31,0,28.81
245.92,20.85,90.71,0.99,250.93,73.09,1,68.62
194.6,36.11,39.65,7.79,392.56,49.6,0,57.34
208.97,30.13,72.03,6.26,94.84,54.25,0,72.14
134.34,24.69,45.2,7.51,150.77,93.38,0,69.59
70.15,31.97,69.7,1.44,195.64,56.95,0,37.1
149.36,21.77,74.34,7.27,215.82,91.31,0,72.35
16.81,19.0,75.41,4.83,397.66,77.49,1,52.43
17.27,37.56,69.37,5.31,195.21,31.55,1,45.91
27.51,19.32,62.7,4.13,138.33,63.39,0,45.06
86.64,39.74,56.76,3.49,461.19,55.32,0,35.86
121.95,23.88,50.62,1.23,188.32,43.81,1,43.98
217.67,21.51,55.63,4.83,201.37,77.15,1,80.33
122.04,37.34,66.33,1.18,248.08,50.24,0,35.28
94.69,19.11,66.18,7.12,399.47,51.41,0,56.01
113.42,37.41,80.83,6.23,232.24,45.25,0,53.14
79.26,26.5,63.37,4.62,498.68,64.85,0,37.89
33.2,26.21,97.17,4.68,232.05,22.7,1,49.55
20.87,21.01,55.98,4.05,285.05,63.35,0,34.41
157.14,21.58,97.41,6.04,193.56,39.6,1,73.4
81.95,35.95,58.21,5.55,588.34,61.37,0,44.08
73.73,32.42,96.24,4.84,151.98,14.52,1,50.62
160.97,31.63,87.99,1.61,414.82,12.78,0,34.91
115.85,27.21,61.02,2.03,311.06,63.81,1,55.5
186.6,19.37,43.7,2.06,208.53,68.28,1,57.1
51.56,38.07,56.57,3.16,467.75,73.44,0,36.97
56.14,23.42,70.16,2.19,584.29,36.19,0,29.69
175.66,28.76,65.23,4.7,562.0,73.51,0,49.32
172.39,26.35,96.75,6.64,573.67,80.81,0,58.73
239.28,19.74,93.21,5.42,453.46,28.83,0,66.88
177.08,21.02,73.79,4.9,160.63,68.95,0,63.32
22.6,27.09,80.19,1.25,467.04,10.46,0,18.74
234.41,37.32,65.08,2.0,579.07,38.26,0,51.28
31.47,30.63,68.71,5.92,563.27,90.36,0,43.46
211.03,38.55,37.29,6.77,477.02,26.4,0,59.8
12.22,30.5,41.76,7.87,185.05,97.04,1,67.12
42.21,29.09,52.19,6.57,211.8,74.34,0,51.75
13.38,25.42,53.59,5.56,132.03,63.76,1,56.59
133.67,19.91,77.16,1.89,101.55,38.48,0,38.28
102.06,27.83,51.82,2.97,357.83,60.41,0,41.88
176.26,19.37,42.45,2.8,255.14,54.22,0,49.75
163.29,38.69,58.16,2.16,575.27,52.08,1,53.2
155.38,27.15,69.6,4.03,331.76,68.44,0,56.23
173.28,31.11,84.6,4.44,326.34,41.84,0,49.02
141.44,29.12,71.08,1.62,210.31,55.79,0,46.47
182.06,28.75,91.63,3.84,52.27,21.61,1,65.24
23.86,28.17,85.84,5.92,249.65,81.85,0,50.54
20.87,25.58,39.02,7.96,562.06,16.07,1,39.31
108.13,34.92,83.25,7.84,394.61,46.99,1,66.45
230.11,26.3,40.06,7.73,527.24,21.7,0,54.63
248.28,26.65,43.02,7.84,504.2,76.54,0,70.11
182.58,27.33,58.89,2.22,287.16,23.65,0,48.47
184.01,20.48,86.0,3.64,464.31,87.77,0,54.63
26.15,31.07,63.13,5.54,525.88,31.54,0,32.61
66.24,22.78,89.42,0.92,312.26,35.46,0,32.08
195.41,36.0,49.92,7.07,591.7,55.87,1,66.1
24.63,38.87,90.42,7.34,383.08,47.59,1,51.85
92.66,32.15,59.01,4.43,423.86,45.93,0,39.66
191.06,28.42,88.51,2.76,430.39,80.91,0,56.34
242.27,30.26,43.45,2.32,137.94,66.91,1,71.51
32.19,33.94,47.0,2.51,410.73,63.06,0,25.97
192.81,33.93,70.21,4.1,524.29,39.3,0,46.52
55.61,34.31,82.05,6.16,550.38,71.22,0,45.59
67.44,25.08,52.83,4.0,396.26,37.14,0,35.5
129.35,20.17,96.82,4.02,507.04,90.46,0,51.55
20.97,37.01,81.7,0.62,340.92,61.39,1,35.16
57.09,23.06,70.9,2.34,339.37,93.02,0,37.61
207.18,39.26,75.43,4.18,117.58,79.96,0,61.03
141.17,22.05,91.03,7.93,575.2,56.11,0,65.68
170.37,34.82,60.98,6.82,154.23,72.23,0,62.6
119.44,19.33,75.18,7.5,549.4,68.02,0,50.97
142.39,18.26,68.35,2.56,586.94,11.51,1,47.77
228.35,20.35,41.07,1.62,131.32,56.33,0,49.02
105.26,26.21,60.58,4.74,594.34,29.88,0,40.28
215.97,34.71,40.89,3.34,340.57,14.94,0,48.55
29.84,36.6,75.63,2.98,586.85,95.7,0,33.08
226.31,33.23,70.71,2.53,556.01,70.23,0,57.81
145.24,18.72,93.51,2.86,577.65,61.66,1,61.19
81.83,30.41,70.7,6.87,412.68,57.57,1,63.94
43.59,39.75,80.62,4.26,585.11,14.73,1,37.1
28.24,31.31,73.67,4.97,581.97,38.72,0,37.04
118.13,23.02,69.84,3.32,127.73,61.56,1,54.11
158.47,35.56,79.93,1.12,109.45,72.63,0,52.77
86.0,20.34,35.33,2.81,228.75,33.74,0,28.96
113.44,30.25,67.28,1.27,71.98,58.77,0,46.74
12.96,27.1,84.09,5.94,344.53,97.36,0,49.82
50.7,26.38,43.75,2.76,306.01,15.57,1,34.09
81.94,35.22,57.75,7.58,438.12,53.63,0,50.04
42.52,18.15,59.93,6.81,240.34,85.87,1,60.13
205.71,36.91,96.38,1.52,205.99,93.36,0,59.68
52.63,26.76,55.11,6.01,387.08,95.16,0,47.03
77.27,35.29,58.0,7.49,135.88,97.76,0,63.6
142.02,38.97,64.08,5.81,274.3,35.64,0,56.36
200.96,27.0,66.46,5.25,160.37,67.96,1,77.88
27.75,39.8,65.19,3.51,313.84,90.99,1,50.83
199.77,25.91,91.42,4.53,390.14,17.48,0,55.5
95.2,32.23,37.79,7.88,412.93,45.17,0,55.29
113.31,18.23,51.3,4.33,320.9,61.09,0,45.54
103.87,34.99,72.08,4.25,220.08,12.16,0,39.28
230.93,19.89,87.37,5.98,222.03,40.19,0,67.61
93.59,20.15,80.49,3.89,58.96,13.93,0,37.69
92.34,20.41,85.4,7.47,449.48,55.41,0,52.74
112.33,28.17,85.26,5.22,128.1,67.84,1,61.53
157.39,22.34,72.31,3.42,428.75,28.11,0,44.98
201.88,29.81,58.04,1.98,86.09,69.02,1,65.01
163.39,31.13,73.51,4.9,221.8,84.41,0,65.17
179.44,24.54,73.71,1.14,97.69,20.37,0,39.32
99.59,21.11,59.47,4.97,353.39,47.23,1,56.65
176.42,32.2,97.99,4.66,303.99,22.35,0,58.48
158.66,37.04,94.97,4.13,133.17,43.79,1,65.34
128.01,33.62,62.96,1.75,347.93,80.04,0,41.09
75.96,29.83,45.6,3.93,450.66,77.4,0,41.23
74.29,29.95,97.43,4.57,458.94,76.88,1,58.72
247.55,20.25,87.29,6.14,192.67,97.94,1,86.01
216.93,19.91,89.51,1.38,490.9,28.47,0,49.77
156.46,27.42,73.82,6.39,491.85,80.88,0,60.66
153.25,21.7,96.68,2.69,352.19,93.81,0,51.01
190.02,27.06,38.74,2.58,400.42,71.73,0,45.07
180.73,36.23,82.97,5.57,303.89,60.81,0,63.2
100.04,19.66,85.06,6.27,253.65,75.98,0,57.62
127.13,30.8,89.74,6.85,74.02,95.55,0,73.73
200.96,26.75,95.99,6.69,306.93,38.41,0,63.62
148.7,30.46,65.58,3.08,415.88,14.26,0,40.86
210.81,18.36,93.55,1.68,284.78,97.28,1,66.38
175.26,20.9,75.95,1.69,560.98,34.11,0,36.8
99.24,37.88,45.43,3.47,197.2,71.55,0,44.02
31.89,20.09,48.45,1.08,364.33,55.71,1,29.17
176.94,35.98,97.25,3.67,96.66,16.23,1,58.84
203.43,20.27,58.16,2.74,241.98,81.58,0,58.24
172.51,19.51,70.49,5.08,115.19,40.9,0,59.4
46.33,27.06,78.25,6.95,70.28,18.84,0,49.03
102.17,39.19,54.81,1.55,180.64,17.41,0,35.81
175.71,36.65,76.48,2.76,320.29,54.84,1,57.92
23.1,37.75,95.14,4.21,85.39,53.96,0,44.18
244.65,39.71,93.84,1.49,519.27,60.02,0,54.22
51.46,28.36,97.2,1.05,360.67,11.21,0,20.85
24.51,35.36,66.92,5.21,310.61,46.56,1,43.87
138.78,31.55,52.48,2.82,316.56,27.88,0,40.01
103.78,31.95,87.58,5.61,58.35,71.48,0,54.1
30.69,27.56,63.56,5.07,199.39,75.27,0,40.3
179.9,33.43,45.32,7.65,323.34,78.9,0,61.94
40.46,35.18,51.93,7.15,467.43,12.58,1,44.46
25.33,33.67,71.33,1.08,284.01,41.69,1,40.6
50.05,21.46,83.72,7.21,410.99,20.15,0,38.88
217.1,23.38,64.72,3.37,107.05,91.94,0,65.26
229.35,34.29,61.42,2.91,261.43,73.39,0,62.72
147.17,20.63,77.42,0.9,149.45,55.39,0,49.84
26.54,28.23,52.79,6.84,209.83,58.67,0,44.4
79.98,35.26,81.59,2.32,233.6,95.52,0,49.22
141.17,35.51,44.49,7.49,33.87,57.66,0,68.06
10.35,32.46,88.49,5.95,80.29,56.62,0,46.58
240.68,39.4,43.97,2.6,45.46,30.37,1,66.56
99.4,39.44,40.35,1.22,97.44,82.16,0,41.58
24.95,32.57,43.23,2.69,513.53,91.49,1,43.95
186.48,25.0,52.13,1.06,137.57,78.63,0,45.82
49.45,28.25,60.61,4.52,579.49,28.27,0,31.08
214.6,19.99,85.88,2.78,428.73,63.09,0,59.38
88.67,20.01,50.64,3.17,317.81,69.59,0,44.89
51.73,38.95,88.84,4.67,339.07,18.34,0,41.79
43.55,18.26,87.31,7.87,95.81,82.48,0,62.96
235.02,19.85,71.93,7.38,63.49,97.75,0,86.45
116.42,20.83,92.02,6.72,212.3,13.76,1,58.22
231.79,27.53,80.64,4.22,241.98,47.55,0,58.5
54.92,24.16,90.66,0.76,379.12,31.63,0,27.82
221.87,28.54,40.53,3.37,263.16,66.55,0,57.42
202.52,35.49,97.33,6.36,228.29,57.92,1,77.26
145.76,25.08,52.04,0.7,366.33,12.58,0,25.23
247.97,29.65,83.31,8.0,584.91,18.81,0,63.03
205.91,38.18,38.52,7.97,147.26,84.49,1,81.08
211.41,36.59,46.09,4.94,487.6,71.39,0,59.68
94.4,30.49,43.95,7.61,505.28,81.32,1,63.92
52.13,18.84,38.54,5.01,31.56,52.06,0,48.43
58.35,20.87,80.17,7.39,509.68,38.48,0,42.3
179.13,21.12,41.99,4.45,231.64,16.38,1,58.63
90.77,25.1,96.48,5.99,273.38,66.26,1,67.64
51.81,39.31,78.69,7.47,476.46,29.64,0,43.62
186.16,24.48,46.2,0.51,427.16,60.41,0,36.12
86.37,35.79,73.52,5.3,80.38,53.66,0,54.7
67.12,39.61,45.58,7.14,71.46,72.39,0,54.33
73.65,23.49,39.27,2.42,82.66,10.11,1,39.94
110.72,21.66,61.08,7.11,223.71,43.03,1,68.15
148.73,34.68,49.21,3.88,483.53,12.94,0,36.41
238.4,19.63,45.72,3.32,444.55,58.14,0,51.92
246.47,37.65,79.38,3.73,399.11,63.44,1,67.55
34.3,22.52,46.97,5.73,438.78,74.24,0,43.13
81.38,20.11,59.75,4.62,304.75,14.8,0,37.0
80.69,32.56,72.81,2.0,34.93,25.03,0,42.92
123.66,20.54,84.45,4.03,539.03,33.32,1,48.82
222.52,26.13,63.08,2.47,289.73,29.91,0,50.65
46.27,33.32,41.09,5.51,488.74,46.43,0,36.8
211.79,36.0,61.37,4.52,522.8,51.78,0,53.97
28.95,37.86,80.0,4.27,542.26,80.44,0,34.64
191.73,21.8,97.02,7.79,488.91,21.1,1,67.42
173.95,22.44,86.82,1.61,365.13,38.14,0,39.61
143.53,30.15,88.97,4.4,551.95,11.09,1,48.31
45.91,30.47,71.71,7.74,78.12,19.3,0,52.94
218.19,37.36,90.31,2.48,399.78,60.34,1,59.87
76.1,21.16,73.35,5.7,42.49,88.28,0,59.97
21.83,28.45,51.92,3.29,215.96,79.84,0,34.71
127.99,33.32,41.19,7.02,97.94,95.73,1,77.22
87.01,34.03,73.11,1.17,276.2,90.38,1,54.02
192.28,37.08,86.72,4.36,112.2,37.38,1,64.95
214.31,37.35,36.82,1.95,503.1,83.65,0,43.06
22.13,25.93,47.54,3.26,289.25,44.93,0,32.47
68.07,28.75,63.1,7.7,295.26,58.52,0,49.09
224.68,34.48,78.4,2.64,244.21,24.34,0,56.68
165.37,32.91,51.95,3.57,31.63,78.67,0,56.88
41.76,21.81,85.45,2.18,372.84,92.98,0,38.56
100.35,25.67,50.88,4.0,412.77,82.54,1,56.36
11.76,39.99,95.89,6.8,345.65,62.25,0,45.22
35.95,19.4,97.27,5.3,519.67,32.98,0,34.82
134.15,23.29,38.58,6.93,489.82,45.56,0,52.15
183.11,32.42,97.84,2.45,262.77,44.17,0,53.13
248.74,35.95,56.62,5.85,418.06,66.17,1,80.77
171.25,29.16,88.26,6.8,528.37,25.94,0,55.77
187.82,33.95,70.22,7.34,569.22,89.16,0,62.97
63.6,37.17,61.49,7.15,235.58,61.53,1,66.37
122.93,37.06,71.77,7.58,61.31,88.27,0,72.7
101.6,24.56,38.41,6.91,99.67,27.63,1,65.9
224.28,39.71,44.02,6.97,124.61,17.11,0,64.24
52.44,31.96,35.3,2.55,461.49,24.84,0,23.99
193.26,19.94,73.71,5.25,253.97,94.95,1,70.97
138.11,34.07,94.85,7.19,458.97,56.73,0,62.3
160.4,23.47,78.69,3.08,94.78,43.75,0,48.03
207.72,24.56,53.32,5.96,365.89,39.73,0,56.26
226.33,25.9,46.87,7.61,552.56,45.5,0,59.06
246.37,22.65,36.38,4.28,91.43,72.58,0,63.21
163.68,34.97,74.26,4.95,47.82,19.51,0,49.43
37.79,27.77,42.79,2.4,427.08,28.08,0,21.56
168.8,32.57,52.01,5.04,99.55,83.1,0,61.85
158.25,24.22,84.44,4.23,373.22,78.46,0,54.93
108.34,21.53,69.53,7.33,419.16,52.3,0,48.27
171.19,37.95,87.62,5.52,106.5,17.93,0,60.53
34.31,23.63,49.56,7.91,191.69,50.86,0,52.72
219.79,36.75,57.69,5.58,267.08,20.2,0,51.66
43.21,32.24,55.71,7.21,573.95,33.61,0,38.0
92.25,20.5,60.22,3.92,504.71,70.71,1,55.61
165.72,35.53,42.12,5.72,54.01,92.94,0,59.78
228.69,28.62,70.84,3.79,374.57,78.57,0,65.84
221.19,34.0,91.18,4.12,303.11,88.11,1,71.32
72.79,24.91,79.39,5.58,465.17,60.75,0,52.22
170.76,25.44,67.96,5.75,75.24,68.23,0,64.03
169.29,32.11,44.37,6.7,537.4,63.94,0,57.57
47.66,36.67,88.67,7.02,63.42,53.27,0,52.82
76.76,29.15,69.68,3.34,493.92,16.94,1,45.32
117.54,36.84,63.17,1.39,308.48,67.5,0,38.91
18.6,30.08,87.03,6.44,578.64,66.1,0,44.77
119.49,25.5,86.99,6.62,509.7,39.21,1,64.51
97.19,27.96,41.14,5.44,21.27,41.25,0,49.23
99.73,20.34,91.5,4.19,496.67,75.34,1,53.56
156.6,22.13,93.6,3.45,285.09,78.76,0,51.9
109.47,38.39,87.76,4.92,467.84,49.64,0,53.37
11.04,34.2,69.85,3.75,359.37,91.34,0,41.34
51.68,35.94,41.52,5.43,371.57,38.32,1,46.32
156.16,33.24,50.64,3.48,218.86,35.89,0,41.85
154.61,37.5,67.27,6.82,337.73,37.62,0,53.14
159.8,24.39,56.75,5.54,589.17,67.21,0,52.34
176.63,25.09,42.27,3.14,298.61,60.22,1,60.82
224.53,29.75,90.28,3.67,27.41,19.37,1,65.64
170.86,22.4,82.26,1.71,186.24,32.05,0,48.33
80.83,34.58,37.04,6.61,79.44,86.39,0,58.68
144.7,23.23,84.41,6.49,186.83,68.48,1,72.43
239.61,39.47,54.7,4.64,27.52,32.12,1,76.22
228.76,33.5,75.8,6.16,337.04,63.1,0,65.35
52.58,33.02,46.78,1.8,318.03,43.19,1,35.67
73.42,21.54,88.3,0.54,290.47,92.5,0,35.39
87.43,19.12,93.74,5.12,403.9,53.17,0,43.15
179.84,29.56,95.29,4.4,476.03,24.02,1,56.11
63.09,22.69,55.91,3.21,146.7,76.23,1,58.74
207.69,39.58,35.55,5.52,278.49,89.6,0,69.07
173.81,25.06,92.7,7.59,243.81,57.54,0,63.17
